state,year,online_crime,number_of_cases,financial_losses_rm,number_of_victims,age_group,gender
Kelantan,2023,Non-existent loans,,,40,21-30,
Kelantan,2023,Non-existent loans,,,22,31-40,
Kelantan,2023,Non-existent loans,,,12,41-50,
Kelantan,2023,Non-existent loans,,,8,51-60,
Kelantan,2023,Non-existent loans,,,9,>=61,
Kelantan,2023,Non-existent investments,,,6,15-20,
Kelantan,2023,Non-existent investments,,,21,21-30,
Kelantan,2023,Non-existent investments,,,39,31-40,
Kelantan,2023,Non-existent investments,,,34,41-50,
Kelantan,2023,Non-existent investments,,,26,51-60,
Kelantan,2023,Non-existent investments,,,22,>=61,
Melaka,2021,Non-existent loans,,,20,15-20,
Melaka,2021,Non-existent loans,,,100,21-30,
Melaka,2021,Non-existent loans,,,55,31-40,
Melaka,2021,Non-existent loans,,,24,41-50,
Melaka,2021,Non-existent loans,,,10,51-60,
Melaka,2021,Non-existent loans,,,3,>=61,
Melaka,2021,Non-existent investments,,,5,15-20,
Melaka,2021,Non-existent investments,,,40,21-30,
Melaka,2021,Non-existent investments,,,47,31-40,
Melaka,2021,Non-existent investments,,,34,41-50,
Melaka,2021,Non-existent investments,,,24,51-60,
Melaka,2021,Non-existent investments,,,13,>=61,
Melaka,2022,Non-existent loans,,,6,15-20,
Melaka,2022,Non-existent loans,,,81,21-30,
Melaka,2022,Non-existent loans,,,58,31-40,
Melaka,2022,Non-existent loans,,,23,41-50,
Melaka,2022,Non-existent loans,,,8,51-60,
Melaka,2022,Non-existent loans,,,4,>=61,
Melaka,2022,Non-existent investments,,,9,15-20,
Melaka,2022,Non-existent investments,,,46,21-30,
Melaka,2022,Non-existent investments,,,50,31-40,
Melaka,2022,Non-existent investments,,,33,41-50,
Melaka,2022,Non-existent investments,,,28,51-60,
Melaka,2022,Non-existent investments,,,14,>=61,
Melaka,2023,Non-existent loans,,,3,15-20,
Melaka,2023,Non-existent loans,,,111,21-30,
Melaka,2023,Non-existent loans,,,85,31-40,
Melaka,2023,Non-existent loans,,,33,41-50,
Melaka,2023,Non-existent loans,,,19,51-60,
Melaka,2023,Non-existent loans,,,8,>=61,
Melaka,2023,Non-existent investments,,,8,15-20,
Melaka,2023,Non-existent investments,,,57,21-30,
Melaka,2023,Non-existent investments,,,87,31-40,
Melaka,2023,Non-existent investments,,,51,41-50,
Melaka,2023,Non-existent investments,,,59,51-60,
Melaka,2023,Non-existent investments,,,34,>=61,
Negeri Sembilan,2021,Non-existent loans,,,30,15-20,
Negeri Sembilan,2021,Non-existent loans,,,184,21-30,
Negeri Sembilan,2021,Non-existent loans,,,112,31-40,
Negeri Sembilan,2021,Non-existent loans,,,69,41-50,
Negeri Sembilan,2021,Non-existent loans,,,36,51-60,
Negeri Sembilan,2021,Non-existent loans,,,10,>=61,
Negeri Sembilan,2021,Non-existent investments,,,13,15-20,
Negeri Sembilan,2021,Non-existent investments,,,66,21-30,
Negeri Sembilan,2021,Non-existent investments,,,60,31-40,
Negeri Sembilan,2021,Non-existent investments,,,45,41-50,
Negeri Sembilan,2021,Non-existent investments,,,30,51-60,
Negeri Sembilan,2021,Non-existent investments,,,17,>=61,
Negeri Sembilan,2022,Non-existent loans,,,17,15-20,
Negeri Sembilan,2022,Non-existent loans,,,140,21-30,
Negeri Sembilan,2022,Non-existent loans,,,90,31-40,
Negeri Sembilan,2022,Non-existent loans,,,49,41-50,
Negeri Sembilan,2022,Non-existent loans,,,28,51-60,
Negeri Sembilan,2022,Non-existent loans,,,12,>=61,
Negeri Sembilan,2022,Non-existent investments,,,13,15-20,
Negeri Sembilan,2022,Non-existent investments,,,80,21-30,
Negeri Sembilan,2022,Non-existent investments,,,94,31-40,
Negeri Sembilan,2022,Non-existent investments,,,60,41-50,
Negeri Sembilan,2022,Non-existent investments,,,49,51-60,
Negeri Sembilan,2022,Non-existent investments,,,28,>=61,
Negeri Sembilan,2023,Non-existent loans,,,9,15-20,
Negeri Sembilan,2023,Non-existent loans,,,124,21-30,
Negeri Sembilan,2023,Non-existent loans,,,117,31-40,
Negeri Sembilan,2023,Non-existent loans,,,77,41-50,
Negeri Sembilan,2023,Non-existent loans,,,39,51-60,
Negeri Sembilan,2023,Non-existent loans,,,23,>=61,
Negeri Sembilan,2023,Non-existent investments,,,9,15-20,
Negeri Sembilan,2023,Non-existent investments,,,71,21-30,
Negeri Sembilan,2023,Non-existent investments,,,104,31-40,
Negeri Sembilan,2023,Non-existent investments,,,80,41-50,
Negeri Sembilan,2023,Non-existent investments,,,70,51-60,
Negeri Sembilan,2023,Non-existent investments,,,65,>=61,
Pahang,2021,Non-existent loans,,,30,15-20,
Pahang,2021,Non-existent loans,,,132,21-30,
Pahang,2021,Non-existent loans,,,86,31-40,
Pahang,2021,Non-existent loans,,,44,41-50,
Pahang,2021,Non-existent loans,,,23,51-60,
Pahang,2021,Non-existent loans,,,15,>=61,
Pahang,2021,Non-existent investments,,,11,15-20,
Pahang,2021,Non-existent investments,,,44,21-30,
Pahang,2021,Non-existent investments,,,39,31-40,
Pahang,2021,Non-existent investments,,,28,41-50,
Pahang,2021,Non-existent investments,,,27,51-60,
Pahang,2021,Non-existent investments,,,12,>=61,
Pahang,2022,Non-existent loans,,,9,15-20,
Pahang,2022,Non-existent loans,,,108,21-30,
Pahang,2022,Non-existent loans,,,75,31-40,
Pahang,2022,Non-existent loans,,,41,41-50,
Pahang,2022,Non-existent loans,,,12,51-60,
Pahang,2022,Non-existent loans,,,8,>=61,
Pahang,2022,Non-existent investments,,,8,15-20,
Pahang,2022,Non-existent investments,,,59,21-30,
Pahang,2022,Non-existent investments,,,76,31-40,
Pahang,2022,Non-existent investments,,,58,41-50,
Pahang,2022,Non-existent investments,,,27,51-60,
Pahang,2022,Non-existent investments,,,15,>=61,
Pahang,2023,Non-existent loans,,,21,15-20,
Pahang,2023,Non-existent loans,,,111,21-30,
Pahang,2023,Non-existent loans,,,111,31-40,
Pahang,2023,Non-existent loans,,,49,41-50,
Pahang,2023,Non-existent loans,,,24,51-60,
Pahang,2023,Non-existent loans,,,6,>=61,
Pahang,2023,Non-existent investments,,,19,15-20,
Pahang,2023,Non-existent investments,,,74,21-30,
Pahang,2023,Non-existent investments,,,105,31-40,
Pahang,2023,Non-existent investments,,,53,41-50,
Pahang,2023,Non-existent investments,,,61,51-60,
Pahang,2023,Non-existent investments,,,49,>=61,
Pulau Pinang,2021,Non-existent loans,,,20,15-20,
Pulau Pinang,2021,Non-existent loans,,,180,21-30,
Pulau Pinang,2021,Non-existent loans,,,107,31-40,
Pulau Pinang,2021,Non-existent loans,,,65,41-50,
Pulau Pinang,2021,Non-existent loans,,,24,51-60,
Pulau Pinang,2021,Non-existent loans,,,9,>=61,
Pulau Pinang,2021,Non-existent investments,,,17,15-20,
Pulau Pinang,2021,Non-existent investments,,,134,21-30,
Pulau Pinang,2021,Non-existent investments,,,96,31-40,
Pulau Pinang,2021,Non-existent investments,,,77,41-50,
Pulau Pinang,2021,Non-existent investments,,,56,51-60,
Pulau Pinang,2021,Non-existent investments,,,22,>=61,
Pulau Pinang,2022,Non-existent loans,,,8,15-20,
Pulau Pinang,2022,Non-existent loans,,,130,21-30,
Pulau Pinang,2022,Non-existent loans,,,65,31-40,
Pulau Pinang,2022,Non-existent loans,,,35,41-50,
Pulau Pinang,2022,Non-existent loans,,,15,51-60,
Pulau Pinang,2022,Non-existent loans,,,8,>=61,
Pulau Pinang,2022,Non-existent investments,,,13,15-20,
Pulau Pinang,2022,Non-existent investments,,,84,21-30,
Pulau Pinang,2022,Non-existent investments,,,82,31-40,
Pulau Pinang,2022,Non-existent investments,,,57,41-50,
Pulau Pinang,2022,Non-existent investments,,,27,51-60,
Pulau Pinang,2022,Non-existent investments,,,14,>=61,
Pulau Pinang,2023,Non-existent loans,,,9,15-20,
Pulau Pinang,2023,Non-existent loans,,,154,21-30,
Pulau Pinang,2023,Non-existent loans,,,112,31-40,
Pulau Pinang,2023,Non-existent loans,,,64,41-50,
Pulau Pinang,2023,Non-existent loans,,,31,51-60,
Pulau Pinang,2023,Non-existent loans,,,6,>=61,
Pulau Pinang,2023,Non-existent investments,,,13,15-20,
Pulau Pinang,2023,Non-existent investments,,,116,21-30,
Pulau Pinang,2023,Non-existent investments,,,104,31-40,
Pulau Pinang,2023,Non-existent investments,,,109,41-50,
Pulau Pinang,2023,Non-existent investments,,,76,51-60,
Pulau Pinang,2023,Non-existent investments,,,44,>=61,
Perak,2021,Non-existent loans,,,24,15-20,
Perak,2021,Non-existent loans,,,112,21-30,
Perak,2021,Non-existent loans,,,66,31-40,
Perak,2021,Non-existent loans,,,51,41-50,
Perak,2021,Non-existent loans,,,22,51-60,
Perak,2021,Non-existent loans,,,12,>=61,
Perak,2021,Non-existent investments,,,10,15-20,
Perak,2021,Non-existent investments,,,66,21-30,
Perak,2021,Non-existent investments,,,49,31-40,
Perak,2021,Non-existent investments,,,33,41-50,
Perak,2021,Non-existent investments,,,30,51-60,
Perak,2021,Non-existent investments,,,11,>=61,
Perak,2022,Non-existent loans,,,8,15-20,
Perak,2022,Non-existent loans,,,79,21-30,
Perak,2022,Non-existent loans,,,77,31-40,
Perak,2022,Non-existent loans,,,22,41-50,
Perak,2022,Non-existent loans,,,7,51-60,
Perak,2022,Non-existent loans,,,7,>=61,
Perak,2022,Non-existent investments,,,8,15-20,
Perak,2022,Non-existent investments,,,42,21-30,
Perak,2022,Non-existent investments,,,55,31-40,
Perak,2022,Non-existent investments,,,40,41-50,
Perak,2022,Non-existent investments,,,33,51-60,
Perak,2022,Non-existent investments,,,21,>=61,
Perak,2023,Non-existent loans,,,14,15-20,
Perak,2023,Non-existent loans,,,116,21-30,
Perak,2023,Non-existent loans,,,84,31-40,
Perak,2023,Non-existent loans,,,60,41-50,
Perak,2023,Non-existent loans,,,27,51-60,
Perak,2023,Non-existent loans,,,19,>=61,
Perak,2023,Non-existent investments,,,17,15-20,
Perak,2023,Non-existent investments,,,73,21-30,
Perak,2023,Non-existent investments,,,64,31-40,
Perak,2023,Non-existent investments,,,77,41-50,
Perak,2023,Non-existent investments,,,94,51-60,
Perak,2023,Non-existent investments,,,61,>=61,
Perlis,2021,Non-existent loans,,,6,15-20,
Perlis,2021,Non-existent loans,,,23,21-30,
Perlis,2021,Non-existent loans,,,8,31-40,
Perlis,2021,Non-existent loans,,,10,41-50,
Perlis,2021,Non-existent loans,,,1,51-60,
Perlis,2021,Non-existent loans,,,2,>=61,
Perlis,2021,Non-existent investments,,,1,15-20,
Perlis,2021,Non-existent investments,,,13,21-30,
Perlis,2021,Non-existent investments,,,11,31-40,
Perlis,2021,Non-existent investments,,,4,41-50,
Perlis,2021,Non-existent investments,,,10,51-60,
Perlis,2021,Non-existent investments,,,1,>=61,
Perlis,2022,Non-existent loans,,,1,15-20,
Perlis,2022,Non-existent loans,,,22,21-30,
Perlis,2022,Non-existent loans,,,17,31-40,
Perlis,2022,Non-existent loans,,,7,41-50,
Perlis,2022,Non-existent loans,,,4,51-60,
Perlis,2022,Non-existent loans,,,2,>=61,
Perlis,2022,Non-existent investments,,,2,15-20,
Perlis,2022,Non-existent investments,,,5,21-30,
Perlis,2022,Non-existent investments,,,20,31-40,
Perlis,2022,Non-existent investments,,,9,41-50,
Perlis,2022,Non-existent investments,,,11,51-60,
Perlis,2022,Non-existent investments,,,1,>=61,
Perlis,2023,Non-existent loans,,,4,15-20,
Perlis,2023,Non-existent loans,,,22,21-30,
Perlis,2023,Non-existent loans,,,18,31-40,
Perlis,2023,Non-existent loans,,,11,41-50,
Perlis,2023,Non-existent loans,,,7,51-60,
Perlis,2023,Non-existent loans,,,0,>=61,
Perlis,2023,Non-existent investments,,,6,15-20,
Perlis,2023,Non-existent investments,,,10,21-30,
Perlis,2023,Non-existent investments,,,18,31-40,
Perlis,2023,Non-existent investments,,,11,41-50,
Perlis,2023,Non-existent investments,,,8,51-60,
Perlis,2023,Non-existent investments,,,9,>=61,
Selangor,2021,Non-existent loans,,,31,15-20,
Selangor,2021,Non-existent loans,,,249,21-30,
Selangor,2021,Non-existent loans,,,185,31-40,
Selangor,2021,Non-existent loans,,,115,41-50,
Selangor,2021,Non-existent loans,,,41,51-60,
Selangor,2021,Non-existent loans,,,26,>=61,
Selangor,2021,Non-existent investments,,,9,15-20,
Selangor,2021,Non-existent investments,,,125,21-30,
Selangor,2021,Non-existent investments,,,126,31-40,
Selangor,2021,Non-existent investments,,,110,41-50,
Selangor,2021,Non-existent investments,,,81,51-60,
Selangor,2021,Non-existent investments,,,24,>=61,
Selangor,2022,Non-existent loans,,,8,15-20,
Selangor,2022,Non-existent loans,,,112,21-30,
Selangor,2022,Non-existent loans,,,99,31-40,
Selangor,2022,Non-existent loans,,,52,41-50,
Selangor,2022,Non-existent loans,,,24,51-60,
Selangor,2022,Non-existent loans,,,9,>=61,
Selangor,2022,Non-existent investments,,,8,15-20,
Selangor,2022,Non-existent investments,,,77,21-30,
Selangor,2022,Non-existent investments,,,116,31-40,
Selangor,2022,Non-existent investments,,,97,41-50,
Selangor,2022,Non-existent investments,,,74,51-60,
Selangor,2022,Non-existent investments,,,36,>=61,
Selangor,2023,Non-existent loans,,,9,15-20,
Selangor,2023,Non-existent loans,,,188,21-30,
Selangor,2023,Non-existent loans,,,199,31-40,
Selangor,2023,Non-existent loans,,,120,41-50,
Selangor,2023,Non-existent loans,,,42,51-60,
Selangor,2023,Non-existent loans,,,19,>=61,
Selangor,2023,Non-existent investments,,,22,15-20,
Selangor,2023,Non-existent investments,,,143,21-30,
Selangor,2023,Non-existent investments,,,237,31-40,
Selangor,2023,Non-existent investments,,,218,41-50,
Selangor,2023,Non-existent investments,,,217,51-60,
Selangor,2023,Non-existent investments,,,176,>=61,
Terengganu,2021,Non-existent loans,,,15,15-20,
Terengganu,2021,Non-existent loans,,,78,21-30,
Terengganu,2021,Non-existent loans,,,50,31-40,
Terengganu,2021,Non-existent loans,,,26,41-50,
Terengganu,2021,Non-existent loans,,,12,51-60,
Terengganu,2021,Non-existent loans,,,5,>=61,
Terengganu,2021,Non-existent investments,,,7,15-20,
Terengganu,2021,Non-existent investments,,,26,21-30,
Terengganu,2021,Non-existent investments,,,28,31-40,
Terengganu,2021,Non-existent investments,,,19,41-50,
Terengganu,2021,Non-existent investments,,,25,51-60,
Terengganu,2021,Non-existent investments,,,1,>=61,
Terengganu,2022,Non-existent loans,,,10,15-20,
Terengganu,2022,Non-existent loans,,,57,21-30,
Terengganu,2022,Non-existent loans,,,57,31-40,
Terengganu,2022,Non-existent loans,,,22,41-50,
Terengganu,2022,Non-existent loans,,,5,51-60,
Terengganu,2022,Non-existent loans,,,3,>=61,
Terengganu,2022,Non-existent investments,,,10,15-20,
Terengganu,2022,Non-existent investments,,,41,21-30,
Terengganu,2022,Non-existent investments,,,59,31-40,
Terengganu,2022,Non-existent investments,,,37,41-50,
Terengganu,2022,Non-existent investments,,,20,51-60,
Terengganu,2022,Non-existent investments,,,11,>=61,
Terengganu,2023,Non-existent loans,,,4,15-20,
Terengganu,2023,Non-existent loans,,,32,21-30,
Terengganu,2023,Non-existent loans,,,30,31-40,
Terengganu,2023,Non-existent loans,,,16,41-50,
Terengganu,2023,Non-existent loans,,,11,51-60,
Terengganu,2023,Non-existent loans,,,6,>=61,
Terengganu,2023,Non-existent investments,,,2,15-20,
Terengganu,2023,Non-existent investments,,,33,21-30,
Terengganu,2023,Non-existent investments,,,53,31-40,
Terengganu,2023,Non-existent investments,,,33,41-50,
Terengganu,2023,Non-existent investments,,,39,51-60,
Terengganu,2023,Non-existent investments,,,23,>=61,
Sabah,2021,Non-existent loans,,,14,15-20,
Sabah,2021,Non-existent loans,,,85,21-30,
Sabah,2021,Non-existent loans,,,73,31-40,
Sabah,2021,Non-existent loans,,,23,41-50,
Sabah,2021,Non-existent loans,,,17,51-60,
Sabah,2021,Non-existent loans,,,8,>=61,
Sabah,2021,Non-existent investments,,,3,15-20,
Sabah,2021,Non-existent investments,,,26,21-30,
Sabah,2021,Non-existent investments,,,19,31-40,
Sabah,2021,Non-existent investments,,,26,41-50,
Sabah,2021,Non-existent investments,,,24,51-60,
Sabah,2021,Non-existent investments,,,8,>=61,
Sabah,2022,Non-existent loans,,,4,15-20,
Sabah,2022,Non-existent loans,,,52,21-30,
Sabah,2022,Non-existent loans,,,48,31-40,
Sabah,2022,Non-existent loans,,,18,41-50,
Sabah,2022,Non-existent loans,,,6,51-60,
Sabah,2022,Non-existent loans,,,8,>=61,
Sabah,2022,Non-existent investments,,,7,15-20,
Sabah,2022,Non-existent investments,,,37,21-30,
Sabah,2022,Non-existent investments,,,61,31-40,
Sabah,2022,Non-existent investments,,,32,41-50,
Sabah,2022,Non-existent investments,,,25,51-60,
Sabah,2022,Non-existent investments,,,5,>=61,
Sabah,2023,Non-existent loans,,,7,15-20,
Sabah,2023,Non-existent loans,,,60,21-30,
Sabah,2023,Non-existent loans,,,76,31-40,
Sabah,2023,Non-existent loans,,,34,41-50,
Sabah,2023,Non-existent loans,,,16,51-60,
Sabah,2023,Non-existent loans,,,6,>=61,
Sabah,2023,Non-existent investments,,,5,15-20,
Sabah,2023,Non-existent investments,,,46,21-30,
Sabah,2023,Non-existent investments,,,75,31-40,
Sabah,2023,Non-existent investments,,,62,41-50,
Sabah,2023,Non-existent investments,,,39,51-60,
Sabah,2023,Non-existent investments,,,19,>=61,
Sarawak,2021,Non-existent loans,,,39,15-20,
Sarawak,2021,Non-existent loans,,,181,21-30,
Sarawak,2021,Non-existent loans,,,119,31-40,
Sarawak,2021,Non-existent loans,,,59,41-50,
Sarawak,2021,Non-existent loans,,,27,51-60,
Sarawak,2021,Non-existent loans,,,12,>=61,
Sarawak,2021,Non-existent investments,,,14,15-20,
Sarawak,2021,Non-existent investments,,,45,21-30,
Sarawak,2021,Non-existent investments,,,33,31-40,
Sarawak,2021,Non-existent investments,,,30,41-50,
Sarawak,2021,Non-existent investments,,,8,51-60,
Sarawak,2021,Non-existent investments,,,6,>=61,
Sarawak,2022,Non-existent loans,,,13,15-20,
Sarawak,2022,Non-existent loans,,,96,21-30,
Sarawak,2022,Non-existent loans,,,70,31-40,
Sarawak,2022,Non-existent loans,,,31,41-50,
Sarawak,2022,Non-existent loans,,,12,51-60,
Sarawak,2022,Non-existent loans,,,10,>=61,
Sarawak,2022,Non-existent investments,,,5,15-20,
Sarawak,2022,Non-existent investments,,,34,21-30,
Sarawak,2022,Non-existent investments,,,44,31-40,
Sarawak,2022,Non-existent investments,,,34,41-50,
Sarawak,2022,Non-existent investments,,,17,51-60,
Sarawak,2022,Non-existent investments,,,10,>=61,
Sarawak,2023,Non-existent loans,,,10,15-20,
Sarawak,2023,Non-existent loans,,,119,21-30,
Sarawak,2023,Non-existent loans,,,105,31-40,
Sarawak,2023,Non-existent loans,,,55,41-50,
Sarawak,2023,Non-existent loans,,,17,51-60,
Sarawak,2023,Non-existent loans,,,3,>=61,
Sarawak,2023,Non-existent investments,,,13,15-20,
Sarawak,2023,Non-existent investments,,,49,21-30,
Sarawak,2023,Non-existent investments,,,60,31-40,
Sarawak,2023,Non-existent investments,,,66,41-50,
Sarawak,2023,Non-existent investments,,,39,51-60,
Sarawak,2023,Non-existent investments,,,26,>=61,
W.P. Kuala Lumpur,2021,Non-existent loans,,,29,15-20,
W.P. Kuala Lumpur,2021,Non-existent loans,,,246,21-30,
W.P. Kuala Lumpur,2021,Non-existent loans,,,205,31-40,
W.P. Kuala Lumpur,2021,Non-existent loans,,,88,41-50,
W.P. Kuala Lumpur,2021,Non-existent loans,,,39,51-60,
W.P. Kuala Lumpur,2021,Non-existent loans,,,18,>=61,
W.P. Kuala Lumpur,2021,Non-existent investments,,,16,15-20,
W.P. Kuala Lumpur,2021,Non-existent investments,,,155,21-30,
W.P. Kuala Lumpur,2021,Non-existent investments,,,132,31-40,
W.P. Kuala Lumpur,2021,Non-existent investments,,,96,41-50,
W.P. Kuala Lumpur,2021,Non-existent investments,,,59,51-60,
W.P. Kuala Lumpur,2021,Non-existent investments,,,25,>=61,
W.P. Kuala Lumpur,2022,Non-existent loans,,,11,15-20,
W.P. Kuala Lumpur,2022,Non-existent loans,,,168,21-30,
W.P. Kuala Lumpur,2022,Non-existent loans,,,150,31-40,
W.P. Kuala Lumpur,2022,Non-existent loans,,,76,41-50,
W.P. Kuala Lumpur,2022,Non-existent loans,,,22,51-60,
W.P. Kuala Lumpur,2022,Non-existent loans,,,14,>=61,
W.P. Kuala Lumpur,2022,Non-existent investments,,,11,15-20,
W.P. Kuala Lumpur,2022,Non-existent investments,,,89,21-30,
W.P. Kuala Lumpur,2022,Non-existent investments,,,141,31-40,
W.P. Kuala Lumpur,2022,Non-existent investments,,,103,41-50,
W.P. Kuala Lumpur,2022,Non-existent investments,,,54,51-60,
W.P. Kuala Lumpur,2022,Non-existent investments,,,29,>=61,
W.P. Kuala Lumpur,2023,Non-existent loans,,,11,15-20,
W.P. Kuala Lumpur,2023,Non-existent loans,,,136,21-30,
W.P. Kuala Lumpur,2023,Non-existent loans,,,187,31-40,
W.P. Kuala Lumpur,2023,Non-existent loans,,,73,41-50,
W.P. Kuala Lumpur,2023,Non-existent loans,,,33,51-60,
W.P. Kuala Lumpur,2023,Non-existent loans,,,24,>=61,
W.P. Kuala Lumpur,2023,Non-existent investments,,,7,15-20,
W.P. Kuala Lumpur,2023,Non-existent investments,,,121,21-30,
W.P. Kuala Lumpur,2023,Non-existent investments,,,184,31-40,
W.P. Kuala Lumpur,2023,Non-existent investments,,,151,41-50,
W.P. Kuala Lumpur,2023,Non-existent investments,,,96,51-60,
W.P. Kuala Lumpur,2023,Non-existent investments,,,76,>=61,
Johor,2021,Telecommunication crime,,,20,15-20,male
Johor,2021,Telecommunication crime,,,67,21-30,male
Johor,2021,Telecommunication crime,,,49,31-40,male
Johor,2021,Telecommunication crime,,,75,41-50,male
Johor,2021,Telecommunication crime,,,52,51-60,male
Johor,2021,Telecommunication crime,,,46,>=61,male
Johor,2021,e-Finance,,,2,15-20,male
Johor,2021,e-Finance,,,8,21-30,male
Johor,2021,e-Finance,,,2,31-40,male
Johor,2021,e-Finance,,,1,41-50,male
Johor,2021,e-Finance,,,6,51-60,male
Johor,2021,e-Finance,,,2,>=61,male
Johor,2022,Telecommunication crime,,,11,15-20,male
Johor,2022,Telecommunication crime,,,66,21-30,male
Johor,2022,Telecommunication crime,,,72,31-40,male
Johor,2022,Telecommunication crime,,,50,41-50,male
Johor,2022,Telecommunication crime,,,50,51-60,male
Johor,2022,Telecommunication crime,,,47,>=61,male
Johor,2022,e-Finance,,,2,15-20,male
Johor,2022,e-Finance,,,12,21-30,male
Johor,2022,e-Finance,,,12,31-40,male
Johor,2022,e-Finance,,,16,41-50,male
Johor,2022,e-Finance,,,8,51-60,male
Johor,2022,e-Finance,,,5,>=61,male
Johor,2023,Telecommunication crime,,,22,15-20,male
Johor,2023,Telecommunication crime,,,148,21-30,male
Johor,2023,Telecommunication crime,,,104,31-40,male
Johor,2023,Telecommunication crime,,,57,41-50,male
Johor,2023,Telecommunication crime,,,76,51-60,male
Johor,2023,Telecommunication crime,,,56,>=61,male
Johor,2023,e-Finance,,,13,15-20,male
Johor,2023,e-Finance,,,36,21-30,male
Johor,2023,e-Finance,,,35,31-40,male
Johor,2023,e-Finance,,,33,41-50,male
Johor,2023,e-Finance,,,35,51-60,male
Johor,2023,e-Finance,,,17,>=61,male
Kedah,2021,Telecommunication crime,,,9,15-20,male
Kedah,2021,Telecommunication crime,,,44,21-30,male
Kedah,2021,Telecommunication crime,,,27,31-40,male
Kedah,2021,Telecommunication crime,,,31,41-50,male
Kedah,2021,Telecommunication crime,,,34,51-60,male
Kedah,2021,Telecommunication crime,,,19,>=61,male
Kedah,2021,e-Finance,,,1,15-20,male
Kedah,2021,e-Finance,,,8,21-30,male
Kedah,2021,e-Finance,,,1,31-40,male
Kedah,2021,e-Finance,,,2,41-50,male
Kedah,2021,e-Finance,,,1,51-60,male
Kedah,2021,e-Finance,,,1,>=61,male
Kedah,2022,Telecommunication crime,,,8,15-20,male
Kedah,2022,Telecommunication crime,,,63,21-30,male
Kedah,2022,Telecommunication crime,,,39,31-40,male
Kedah,2022,Telecommunication crime,,,40,41-50,male
Kedah,2022,Telecommunication crime,,,35,51-60,male
Kedah,2022,Telecommunication crime,,,35,>=61,male
Kedah,2022,e-Finance,,,0,15-20,male
Kedah,2022,e-Finance,,,7,21-30,male
Kedah,2022,e-Finance,,,3,31-40,male
Kedah,2022,e-Finance,,,3,41-50,male
Kedah,2022,e-Finance,,,3,51-60,male
Kedah,2022,e-Finance,,,8,>=61,male
Kedah,2023,Telecommunication crime,,,18,15-20,male
Kedah,2023,Telecommunication crime,,,57,21-30,male
Kedah,2023,Telecommunication crime,,,49,31-40,male
Kedah,2023,Telecommunication crime,,,47,41-50,male
Kedah,2023,Telecommunication crime,,,36,51-60,male
Kedah,2023,Telecommunication crime,,,26,>=61,male
Kedah,2023,e-Finance,,,4,15-20,male
Kedah,2023,e-Finance,,,12,21-30,male
Kedah,2023,e-Finance,,,15,31-40,male
Kedah,2023,e-Finance,,,10,41-50,male
Kedah,2023,e-Finance,,,13,51-60,male
Kedah,2023,e-Finance,,,7,>=61,male
Kelantan,2021,Telecommunication crime,,,4,15-20,male
Kelantan,2021,Telecommunication crime,,,14,21-30,male
Kelantan,2021,Telecommunication crime,,,10,31-40,male
Kelantan,2021,Telecommunication crime,,,11,41-50,male
Kelantan,2021,Telecommunication crime,,,5,51-60,male
Kelantan,2021,Telecommunication crime,,,7,>=61,male
Kelantan,2021,e-Finance,,,2,15-20,male
Kelantan,2021,e-Finance,,,10,21-30,male
Kelantan,2021,e-Finance,,,6,31-40,male
Kelantan,2021,e-Finance,,,3,41-50,male
Kelantan,2021,e-Finance,,,2,51-60,male
Kelantan,2021,e-Finance,,,1,>=61,male
Kelantan,2022,Telecommunication crime,,,2,15-20,male
Kelantan,2022,Telecommunication crime,,,23,21-30,male
Kelantan,2022,Telecommunication crime,,,25,31-40,male
Kelantan,2022,Telecommunication crime,,,28,41-50,male
Kelantan,2022,Telecommunication crime,,,23,51-60,male
Kelantan,2022,Telecommunication crime,,,7,>=61,male
Kelantan,2022,e-Finance,,,1,15-20,male
Kelantan,2022,e-Finance,,,6,21-30,male
Kelantan,2022,e-Finance,,,5,31-40,male
Kelantan,2022,e-Finance,,,7,41-50,male
Kelantan,2022,e-Finance,,,4,51-60,male
Kelantan,2022,e-Finance,,,2,>=61,male
Kelantan,2023,Telecommunication crime,,,8,15-20,male
Kelantan,2023,Telecommunication crime,,,24,21-30,male
Kelantan,2023,Telecommunication crime,,,24,31-40,male
Kelantan,2023,Telecommunication crime,,,24,41-50,male
Kelantan,2023,Telecommunication crime,,,29,51-60,male
Kelantan,2023,Telecommunication crime,,,23,>=61,male
Kelantan,2023,e-Finance,,,2,15-20,male
Kelantan,2023,e-Finance,,,5,21-30,male
Kelantan,2023,e-Finance,,,3,31-40,male
Kelantan,2023,e-Finance,,,6,41-50,male
Kelantan,2023,e-Finance,,,5,51-60,male
Kelantan,2023,e-Finance,,,2,>=61,male
Melaka,2021,Telecommunication crime,,,2,15-20,male
Melaka,2021,Telecommunication crime,,,19,21-30,male
Melaka,2021,Telecommunication crime,,,20,31-40,male
Melaka,2021,Telecommunication crime,,,22,41-50,male
Melaka,2021,Telecommunication crime,,,25,51-60,male
Melaka,2021,Telecommunication crime,,,24,>=61,male
Melaka,2021,e-Finance,,,2,15-20,male
Melaka,2021,e-Finance,,,5,21-30,male
Melaka,2021,e-Finance,,,2,31-40,male
Melaka,2021,e-Finance,,,3,41-50,male
Melaka,2021,e-Finance,,,5,51-60,male
Melaka,2021,e-Finance,,,3,>=61,male
Melaka,2022,Telecommunication crime,,,7,15-20,male
